loan_status,loan_amnt,int_rate,installment,annual_inc,revol_bal,revol_util,total_acc,acc_open_past_24mths,total_pymnt,loss
1,8000,12.29,266.83,28000.0,10254.0,39.6,14.0,5.0,8003.56,-3.5600000000004
1,19500,11.99,647.59,82000.0,16820.0,19.4,30.0,9.0,20474.16,-974.1599999999999
1,7000,12.69,234.82,69000.0,6190.0,39.4,28.0,9.0,7574.58,-574.5799999999999
1,24725,8.18,776.85,120000.0,34876.0,48.4,39.0,9.0,26131.192000000003,-1406.1920000000027
1,21000,5.93,638.2,95000.0,11302.0,38.8,27.0,3.0,22281.69,-1281.6899999999987
1,6000,11.44,197.69,85000.0,6102.0,55.0,21.0,5.0,6641.92,-641.9200000000001
1,15000,9.76,482.32,40000.0,14557.0,54.5,36.0,2.0,15012.76,-12.760000000000218
1,20000,10.49,649.96,64300.0,22668.0,83.6,42.0,5.0,21898.01,-1898.0099999999984
1,9000,11.53,296.92,65000.0,15724.0,80.6,23.0,7.0,9499.65,-499.64999999999964
1,5000,6.24,152.66,38400.0,6384.0,30.1,14.0,6.0,5149.92,-149.92000000000007
1,10000,11.49,329.72,50000.0,8875.0,42.9,33.0,9.0,10365.37,-365.3700000000008
1,10000,11.99,332.1,43000.0,4095.0,59.3,18.0,1.0,11081.4,-1081.3999999999996
1,2200,6.24,67.17,42000.0,712.0,12.1,20.0,3.0,2359.15,-159.1500000000001
0,5900,15.61,206.3,30000.0,2731.0,41.4,7.0,6.0,1472.94,4427.0599999999995
1,2400,12.69,80.51,50000.0,8970.0,65.5,41.0,5.0,2637.94,-237.94000000000005
0,4000,10.99,130.94,75000.0,4164.0,26.5,26.0,9.0,914.14,3085.86
1,6325,12.69,212.18,33000.0,19963.0,67.7,31.0,0.0,6740.6,-415.60000000000036
1,33000,13.33,833.0390000000002,75000.0,33683.0,74.5,43.0,3.0,26131.192000000003,6868.807999999997
1,8000,9.17,255.04,45000.0,8580.0,66.0,39.0,3.0,8007.59,-7.5900000000001455
1,7000,12.69,234.82,40000.0,5122.0,41.0,37.0,9.0,7784.86,-784.8599999999997
0,12000,10.99,392.81,64000.0,10386.0,40.0,29.0,6.0,4699.07,7300.93
1,17000,7.89,531.86,80000.0,18286.0,40.0,42.0,5.0,18150.08,-1150.0800000000017
1,11000,8.18,345.62,69000.0,9414.0,42.6,20.0,3.0,11274.56,-274.5599999999995
1,15000,12.29,500.3,100000.0,13726.0,69.0,17.0,5.0,15623.62,-623.6200000000008
0,23325,14.99,808.46,95000.0,7127.0,40.7,15.0,1.0,4891.73,18433.27
1,3050,7.89,95.43,47200.0,4350.0,48.4,23.0,6.0,3288.4,-238.4000000000001
